                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0598,                0.49765,                0.86644,                0.91603,                0.90727,                0.96674,                0.66206,                 1.0453,                0.48428,                0.88374,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0621,                 0.4964,                0.86559,                0.91526,                0.91727,                0.95557,                0.66465,                 1.0518,                0.48706,                0.88708,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0532,                 0.4943,                0.86875,                 0.9342,                0.91823,                0.95978,                0.65926,                  1.051,                0.48522,                0.88718,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0473,                0.48997,                0.86455,                 0.9295,                0.92287,                0.96043,                0.66032,                 1.0523,                 0.4849,                0.88359,               0.000557,               0.000557,               0.000557
                     58,                 1.0512,                0.49479,                0.86761,                0.91026,                0.93009,                0.96311,                0.66366,                 1.0485,                0.48118,                0.88673,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0396,                0.48303,                0.86506,                0.89406,                0.94298,                0.96252,                0.66376,                 1.0428,                0.47769,                0.88427,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0486,                0.48426,                0.86534,                0.94496,                0.93577,                0.96189,                0.65914,                  1.054,                0.47364,                0.88748,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0464,                0.49103,                0.86399,                 0.9492,                0.90399,                0.95474,                0.65494,                 1.0528,                0.47985,                0.88566,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0387,                0.48592,                0.86203,                0.92231,                0.94612,                0.96109,                0.66464,                 1.0507,                0.47871,                0.88584,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0387,                0.48242,                0.86757,                0.92217,                0.93904,                0.96667,                0.66301,                 1.0507,                0.47679,                0.88463,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0371,                 0.4763,                0.86476,                0.94552,                0.90009,                0.95778,                 0.6542,                 1.0424,                0.46929,                0.88396,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0276,                0.47698,                0.86226,                0.92171,                 0.9202,                0.95588,                0.65671,                  1.046,                0.47404,                0.88514,               0.000458,               0.000458,               0.000458
                     66,                 1.0104,                0.47083,                0.86137,                0.93511,                0.93473,                0.96641,                0.66907,                 1.0444,                0.47043,                0.88383,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0253,                0.47211,                0.86123,                0.90894,                0.93024,                0.95873,                0.66049,                 1.0484,                0.47604,                0.88295,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0196,                0.47076,                0.86199,                0.92823,                0.92138,                0.95723,                0.66591,                 1.0429,                0.47425,                0.88419,             0.00042087,             0.00042087,             0.00042087
                     69,                  1.012,                0.46349,                0.85955,                0.91178,                0.93457,                0.95945,                0.66229,                 1.0393,                0.46649,                0.88409,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0098,                0.46577,                0.86355,                 0.9167,                0.93204,                   0.96,                0.66662,                 1.0426,                 0.4684,                0.88393,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0045,                0.45952,                0.85827,                0.91708,                0.91792,                0.96311,                0.67072,                 1.0391,                0.46863,                0.88308,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0107,                0.46587,                0.85797,                0.91051,                0.93092,                0.95301,                0.66177,                 1.0439,                0.46901,                0.88707,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0025,                0.46096,                 0.8588,                0.91208,                0.93368,                0.95491,                0.66237,                  1.044,                0.46764,                0.88709,               0.000359,               0.000359,               0.000359
                     74,                 1.0043,                0.46274,                 0.8569,                0.90854,                0.90692,                0.96225,                0.67098,                 1.0451,                0.46401,                0.88513,             0.00034663,             0.00034663,             0.00034663
                     75,                0.99177,                0.45513,                0.85993,                0.91372,                0.92175,                0.96109,                0.66418,                 1.0469,                0.46839,                0.88766,             0.00033425,             0.00033425,             0.00033425
                     76,                0.98996,                0.45208,                0.85436,                0.93681,                0.89602,                0.96358,                0.66958,                 1.0469,                0.46658,                0.88701,             0.00032188,             0.00032188,             0.00032188
                     77,                0.99183,                0.45514,                0.85682,                0.92278,                0.90586,                0.95501,                0.66816,                 1.0464,                0.46271,                0.88665,              0.0003095,              0.0003095,              0.0003095
                     78,                0.98386,                0.45164,                0.85303,                0.93238,                0.89547,                0.95273,                0.66062,                  1.051,                 0.4638,                0.88628,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.9788,                0.44674,                0.85466,                0.90732,                0.92137,                0.95816,                 0.6706,                 1.0413,                0.46148,                0.88595,             0.00028475,             0.00028475,             0.00028475
                     80,                0.98552,                0.44738,                0.85514,                0.91112,                0.91029,                0.95982,                0.67477,                 1.0451,                0.46649,                0.88548,             0.00027237,             0.00027237,             0.00027237
                     81,                0.97418,                0.44699,                0.85317,                0.92166,                0.91667,                0.95091,                  0.667,                 1.0447,                0.45777,                0.88614,                0.00026,                0.00026,                0.00026
                     82,                0.97039,                0.43877,                0.85456,                0.94106,                0.90714,                0.95834,                0.66963,                 1.0475,                0.46212,                0.88627,             0.00024762,             0.00024762,             0.00024762
                     83,                0.96471,                0.43932,                0.84957,                0.94951,                0.90264,                0.95848,                0.66545,                 1.0514,                0.45933,                0.88817,             0.00023525,             0.00023525,             0.00023525
                     84,                0.97053,                0.44271,                0.85324,                0.94293,                 0.9066,                0.95489,                0.66375,                 1.0497,                0.46053,                0.88831,             0.00022288,             0.00022288,             0.00022288
                     85,                0.97008,                0.44072,                0.85532,                 0.9362,                0.91301,                0.95773,                0.66877,                 1.0483,                0.45999,                0.88791,              0.0002105,              0.0002105,              0.0002105
                     86,                0.95324,                0.43425,                0.85032,                0.93799,                 0.8966,                0.95838,                0.66828,                 1.0477,                0.45845,                 0.8878,             0.00019813,             0.00019813,             0.00019813
                     87,                0.95566,                0.43699,                0.85103,                0.93382,                0.89843,                0.95325,                0.66362,                 1.0469,                0.45813,                0.88686,             0.00018575,             0.00018575,             0.00018575
